level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	949	796	-1	
2	1	1	0	0	0	14	7	823	764	-1	
3	1	1	1	0	0	15	7	822	764	-1	
4	1	1	1	1	0	16	7	821	19	-1	
5	1	1	1	1	1	16	7	142	15	96.444702	Miscellaneous
5	1	1	1	1	2	165	7	50	15	96.827003	Stats
5	1	1	1	1	3	221	9	83	13	96.768272	2025-2026
5	1	1	1	1	4	311	9	96	13	96.103989	Manchester
5	1	1	1	1	5	413	9	58	13	96.871330	United:
5	1	1	1	1	6	478	9	65	13	94.509674	Premier
5	1	1	1	1	7	548	9	60	17	92.356827	League
5	1	1	1	1	8	639	12	54	13	59.090900	Glossary
5	1	1	1	1	9	719	12	41	13	0.000000	_—_Toggle
5	1	1	1	1	10	765	12	36	10	91.410339	Per90
5	1	1	1	1	11	806	12	31	10	96.462357	Stats
4	1	1	1	2	0	16	36	783	22	-1	
5	1	1	1	2	1	16	36	783	22	26.179375	rr
5	1	1	1	2	2	328	32	131	38	28.308037	ee
5	1	1	1	2	3	544	32	10	38	46.213882	—
4	1	1	1	3	0	16	59	783	22	-1	
5	1	1	1	3	1	12	45	51	47	40.571579	[aver
5	1	1	1	3	2	102	45	71	47	37.763485	Nation
5	1	1	1	3	3	184	45	28	47	32.191917	Por
5	1	1	1	3	4	227	45	32	47	29.513893	Age
5	1	1	1	3	5	266	45	5	47	12.801834	|
5	1	1	1	3	6	278	45	20	47	12.801834	908
5	1	1	1	3	7	301	45	37	47	0.000000	|crav
5	1	1	1	3	8	348	45	21	47	14.775101	Ge
5	1	1	1	3	9	384	45	24	47	18.066109	2G
5	1	1	1	3	10	427	45	24	47	11.469437	Fis
5	1	1	1	3	11	462	45	24	47	0.000000	Fa_
5	1	1	1	3	12	489	45	21	47	36.799507	Of
5	1	1	1	3	13	517	45	24	47	36.799507	crx
5	1	1	1	3	14	552	45	17	47	44.043995	To
5	1	1	1	3	15	579	45	29	47	0.000000	THIW
5	1	1	1	3	16	619	45	40	47	32.058929	Provan
5	1	1	1	3	17	670	45	40	47	11.853676	Pon
5	1	1	1	3	18	717	45	16	47	47.437927	OG
5	1	1	1	3	19	740	45	64	47	42.709965	[Mote]
4	1	1	1	4	0	20	86	770	14	-1	
5	1	1	1	4	1	20	88	24	9	55.195290	uke
5	1	1	1	4	2	51	88	27	9	95.656975	Shaw
5	1	1	1	4	3	127	86	49	14	0.000000	PENG
5	1	1	1	4	4	194	89	14	8	84.176773	DF
5	1	1	1	4	5	226	89	39	8	63.647419	30-306
5	1	1	1	4	6	275	89	24	8	60.750004	339]
5	1	1	1	4	7	330	89	7	8	74.949486	8
5	1	1	1	4	8	367	89	6	8	85.290787	0
5	1	1	1	4	9	411	89	6	8	85.290787	0
5	1	1	1	4	10	435	89	14	8	94.057312	44
5	1	1	1	4	11	467	89	12	8	96.564804	19
5	1	1	1	4	12	504	89	6	8	93.157776	0
5	1	1	1	4	13	529	89	13	8	50.472252	S4
5	1	1	1	4	14	559	89	13	8	87.744339	40
5	1	1	1	4	15	597	89	13	8	87.744339	43
5	1	1	1	4	16	731	89	4	8	17.332420	0
5	1	1	1	4	17	739	77	3	30	17.332420	|
5	1	1	1	4	18	746	88	44	9	93.968719	Matches
4	1	1	1	5	0	20	109	770	13	-1	
5	1	1	1	5	1	16	100	35	30	8.880501	Bruno
5	1	1	1	5	2	56	111	56	9	8.880501	Fermandes
5	1	1	1	5	3	126	109	47	13	0.000000	MM|POR
5	1	1	1	5	4	194	112	15	8	93.087273	MF
5	1	1	1	5	5	226	112	39	8	79.741219	31-248
5	1	1	1	5	6	275	112	24	8	39.312904	320|
5	1	1	1	5	7	331	112	6	8	89.205910	5
5	1	1	1	5	8	367	112	6	8	81.697388	0
5	1	1	1	5	9	411	112	6	8	81.697388	0
5	1	1	1	5	10	435	112	14	8	95.725021	24
5	1	1	1	5	11	466	112	13	8	95.767899	35
5	1	1	1	5	12	504	112	7	8	94.288940	4
5	1	1	1	5	13	522	112	20	8	92.483734	168
5	1	1	1	5	14	559	112	13	8	84.332100	20
5	1	1	1	5	15	597	112	14	8	84.332100	32
5	1	1	1	5	16	731	112	4	8	30.909889	0
5	1	1	1	5	17	739	100	6	30	30.909889	|
5	1	1	1	5	18	746	111	44	9	94.544502	Matches
4	1	1	1	6	0	15	122	775	30	-1	
5	1	1	1	6	1	15	122	55	30	0.000000	[casemiro
