season,fbrefSeason,league,sourceFile,Squad,playerCount,avgAge,possession,MP,Starts,Min,90s,Gls,Ast,G+A,PK,PKatt,CrdY,CrdR,WorldCupScreenshotSource
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Canada,39.273,520,3,33,270,30,1,1,2,3,14,8,0,33033,true
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Croatia,21,283543,7,77,690,7.7,8,8,16,24,0,8,0,1.041,true
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Ecuador,1249,533,3,33.27,30,4,2,6,3,9,3,0,133,67,true
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Korea Republic,21,28.2,48.3,4,48,360,4,5,3,8,0,0,7,2,true
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Mexico,2128.2,540,3,33,270,30,2,1,3,4,0,7,0,0.67,true
2022 World Cup,2022,International,Screenshot 2026-05-18 145411.png,Poland,21278,373,4,44,360,40,3,1,4,5,2,7,75025,100,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Argentina,20296,65.8,4,44,360,40,6,6,12,18,11,0,150,150,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Belgium,2127.7527,7,7.7,630,7,15,1.2,27,14,41,11,0,2341.71,3.86,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Colombia,2026.8,508,4,44,390,43,6,5,11,16,9,1,138,1.15,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Croatia,2128.8,56.7,7,77720,80,13,8,21,12,33,15,1.62,1,262,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,England,21.255,544,7,77,690,7.7,1.2,6,18,24,3,8,0,1570.78,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Germany,20.27,2720,3,33.27,30,2,2,4,2,6,4,1,67067,133,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Iceland,18,30.0333,3,33,270,30,2,0,2,2,2,3,0,67,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,IR Iran,16,26.2,28.3,3,33,270,3,1,0,1,1,7,0.33,0,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Korea Republic,1927.1,37.3,3,33,270,30,3,2,5,7,0,10,0,1,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Mexico,1927.8,53,4,44,360,40,3,2,5,7,2,98,0.7505,1.25,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Morocco,19286,483,3,33,270,30,2,1,3,4,0,8,0,67,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Nigeria,16,24.8,46.3,3,33,270,3,3,2,5,1,1,4,0,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Panama,2028.3,367,3,33,270,30,1,1,2,3,0,41,0,0.33,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Poland,2127.6,50.7,3,33,270,30,2,2,4,6,0,3,0,87,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Portugal,18,28.3,548,4,44,360,4,6,4,10,1,2,7,1.5,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Saudi Arabia,20,28.1,59,3,33,270,3,2,1,3,21,2,1,0,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Serbia,18.279,427,3,33,270,30,2,1,3,4,0,9,67033,1,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Spain,1728.9,740,4,44390,43,6,3,9,6,15,0,1.38,0.69,2.08,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Sweden,19,28.5,37.6,5,55,450,5,5,3,8,2,2,8,0,true
2018 World Cup,2018,International,Screenshot 2026-05-18 150527.png,Tunisia,23.26,2523,3,33270,30,5,4,9,4,13,4,0,167,1.33,true
